epoch_s,pod,cpu_m,mem_Mi
1781194848,kube-billing-controller-manager-69ccd74f55-zb9wh,3,14
1781194858,kube-billing-controller-manager-69ccd74f55-htd5l,127,43
1781194858,kube-billing-controller-manager-69ccd74f55-vpdkt,3,13
1781194858,kube-billing-controller-manager-69ccd74f55-zb9wh,3,14
1781194869,kube-billing-controller-manager-69ccd74f55-htd5l,127,43
1781194869,kube-billing-controller-manager-69ccd74f55-vpdkt,3,13
1781194869,kube-billing-controller-manager-69ccd74f55-zb9wh,3,14
1781194879,kube-billing-controller-manager-69ccd74f55-htd5l,44,41
1781194879,kube-billing-controller-manager-69ccd74f55-vpdkt,6,13
1781194879,kube-billing-controller-manager-69ccd74f55-zb9wh,6,13
1781194889,kube-billing-controller-manager-69ccd74f55-htd5l,44,41
1781194889,kube-billing-controller-manager-69ccd74f55-vpdkt,6,13
1781194889,kube-billing-controller-manager-69ccd74f55-zb9wh,6,13
1781194899,kube-billing-controller-manager-69ccd74f55-htd5l,44,41
1781194899,kube-billing-controller-manager-69ccd74f55-vpdkt,6,13
1781194899,kube-billing-controller-manager-69ccd74f55-zb9wh,6,13
1781194909,kube-billing-controller-manager-69ccd74f55-htd5l,44,41
1781194909,kube-billing-controller-manager-69ccd74f55-vpdkt,6,13
1781194909,kube-billing-controller-manager-69ccd74f55-zb9wh,6,13
1781194920,kube-billing-controller-manager-69ccd74f55-htd5l,44,41
1781194920,kube-billing-controller-manager-69ccd74f55-vpdkt,6,13
1781194920,kube-billing-controller-manager-69ccd74f55-zb9wh,6,13
