name,create_ms,activate_ms,final_state
w1c10-0,9.001,118.232,Active
w1c10-1,9.111,118.124,Active
w1c10-2,8.548,113.368,Active
w1c10-3,8.600,115.848,Active
w1c10-4,8.642,117.854,Active
w1c10-5,8.618,115.739,Active
w1c10-6,8.553,111.923,Active
w1c10-7,8.780,113.208,Active
w1c10-8,8.877,117.878,Active
w1c10-9,5.890,111.732,Active
w1c10-10,2.436,163.587,Active
w1c10-11,6.212,163.902,Active
w1c10-12,2.427,162.532,Active
w1c10-13,4.411,161.980,Active
w1c10-14,2.318,160.075,Active
w1c10-15,2.718,159.495,Active
w1c10-16,2.732,157.839,Active
w1c10-17,2.853,157.660,Active
w1c10-18,2.533,258.645,Active
w1c10-19,2.316,157.191,Active
w1c10-20,5.336,109.759,Active
w1c10-21,7.687,115.604,Active
w1c10-22,7.016,110.752,Active
w1c10-23,6.938,110.919,Active
w1c10-24,7.489,115.376,Active
w1c10-25,7.360,115.216,Active
w1c10-26,7.262,115.225,Active
w1c10-27,7.239,115.221,Active
w1c10-28,7.163,114.970,Active
w1c10-29,3.259,107.227,Active
w1c10-30,2.273,107.568,Active
w1c10-31,4.725,107.488,Active
w1c10-32,4.528,107.441,Active
w1c10-33,4.379,108.075,Active
w1c10-34,2.344,107.598,Active
w1c10-35,3.581,107.943,Active
w1c10-36,3.512,107.754,Active
w1c10-37,3.533,107.797,Active
w1c10-38,2.221,107.531,Active
w1c10-39,1.610,104.305,Active
w1c10-40,1.270,105.307,Active
w1c10-41,2.754,106.438,Active
w1c10-42,2.510,106.366,Active
w1c10-43,1.428,106.018,Active
w1c10-44,4.454,107.856,Active
w1c10-45,3.301,105.762,Active
w1c10-46,4.232,107.219,Active
w1c10-47,4.101,107.769,Active
w1c10-48,4.066,107.283,Active
w1c10-49,1.756,106.134,Active
w1c10-50,1.076,104.374,Active
w1c10-51,1.412,103.428,Active
w1c10-52,1.711,105.945,Active
w1c10-53,3.390,107.465,Active
w1c10-54,3.455,107.217,Active
w1c10-55,2.217,105.874,Active
w1c10-56,2.689,105.772,Active
w1c10-57,3.417,108.182,Active
w1c10-58,3.328,108.033,Active
w1c10-59,3.795,108.966,Active
w1c10-60,2.006,104.735,Active
w1c10-61,2.579,105.551,Active
w1c10-62,1.777,104.431,Active
w1c10-63,2.664,105.814,Active
w1c10-64,2.753,106.106,Active
w1c10-65,2.666,105.613,Active
w1c10-66,2.474,105.608,Active
w1c10-67,2.195,106.216,Active
w1c10-68,2.132,105.873,Active
w1c10-69,1.500,104.867,Active
w1c10-70,1.787,104.497,Active
w1c10-71,1.471,104.775,Active
w1c10-72,1.243,104.736,Active
w1c10-73,2.823,112.363,Active
w1c10-74,2.916,111.917,Active
w1c10-75,2.809,111.891,Active
w1c10-76,2.537,111.929,Active
w1c10-77,3.209,109.354,Active
w1c10-78,3.440,109.090,Active
w1c10-79,1.515,104.381,Active
w1c10-80,2.134,105.050,Active
w1c10-81,2.434,114.384,Active
w1c10-82,10.863,115.391,Active
w1c10-83,9.209,115.660,Active
w1c10-84,9.127,115.794,Active
w1c10-85,8.700,115.143,Active
w1c10-86,8.774,115.142,Active
w1c10-87,8.775,113.088,Active
w1c10-88,8.701,115.535,Active
w1c10-89,1.506,105.026,Active
w1c10-90,2.215,104.555,Active
w1c10-91,2.011,105.302,Active
w1c10-92,1.201,103.484,Active
w1c10-93,2.098,105.525,Active
w1c10-94,3.398,105.721,Active
w1c10-95,2.599,104.539,Active
w1c10-96,3.316,105.597,Active
w1c10-97,3.213,105.440,Active
w1c10-98,3.074,105.256,Active
w1c10-99,1.264,129.876,Active
