name,create_ms,activate_ms,final_state
w4c10-0,11.607,249.800,Active
w4c10-1,12.767,135.909,Active
w4c10-2,11.137,248.694,Active
w4c10-3,11.449,248.682,Active
w4c10-4,9.018,137.026,Active
w4c10-5,11.733,135.810,Active
w4c10-6,11.662,137.091,Active
w4c10-7,11.411,135.821,Active
w4c10-8,11.660,248.671,Active
w4c10-9,11.383,135.792,Active
w4c10-10,110.421,223.202,Active
w4c10-11,109.948,223.134,Active
w4c10-12,109.479,223.089,Active
w4c10-13,112.835,223.100,Active
w4c10-14,108.733,221.782,Active
w4c10-15,109.127,221.855,Active
w4c10-16,7.527,183.424,Active
w4c10-17,10.533,192.691,Active
w4c10-18,75.657,192.756,Active
w4c10-19,9.470,188.806,Active
w4c10-20,7.210,117.562,Active
w4c10-21,7.160,116.664,Active
w4c10-22,7.057,117.402,Active
w4c10-23,7.045,117.489,Active
w4c10-24,7.002,115.392,Active
w4c10-25,6.992,119.771,Active
w4c10-26,9.159,116.234,Active
w4c10-27,2.707,109.427,Active
w4c10-28,5.167,113.630,Active
w4c10-29,2.512,107.087,Active
w4c10-30,4.888,110.989,Active
w4c10-31,5.073,109.795,Active
w4c10-32,5.302,110.792,Active
w4c10-33,6.279,110.382,Active
w4c10-34,5.952,109.991,Active
w4c10-35,3.934,108.014,Active
w4c10-36,6.934,113.732,Active
w4c10-37,6.605,110.880,Active
w4c10-38,3.081,108.490,Active
w4c10-39,3.866,107.875,Active
w4c10-40,2.449,108.873,Active
w4c10-41,2.077,107.822,Active
w4c10-42,2.006,108.997,Active
w4c10-43,1.955,108.125,Active
w4c10-44,2.734,107.685,Active
w4c10-45,2.400,107.318,Active
w4c10-46,1.465,105.243,Active
w4c10-47,2.324,104.908,Active
w4c10-48,1.471,104.509,Active
w4c10-49,1.509,105.850,Active
w4c10-50,2.205,107.493,Active
w4c10-51,2.342,106.558,Active
w4c10-52,2.134,106.399,Active
w4c10-53,5.342,108.637,Active
w4c10-54,4.991,108.203,Active
w4c10-55,4.426,107.999,Active
w4c10-56,1.833,105.747,Active
w4c10-57,1.591,103.984,Active
w4c10-58,2.539,105.166,Active
w4c10-59,2.271,105.681,Active
w4c10-60,2.750,106.331,Active
w4c10-61,2.590,106.364,Active
w4c10-62,2.583,106.392,Active
w4c10-63,3.296,106.714,Active
w4c10-64,3.600,106.715,Active
w4c10-65,4.762,109.267,Active
w4c10-66,1.592,105.241,Active
w4c10-67,1.543,105.139,Active
w4c10-68,1.969,107.270,Active
w4c10-69,6.883,120.642,Active
w4c10-70,1.710,105.355,Active
w4c10-71,1.594,104.884,Active
w4c10-72,1.335,104.715,Active
w4c10-73,2.720,105.332,Active
w4c10-74,2.716,105.035,Active
w4c10-75,2.587,106.539,Active
w4c10-76,2.040,106.571,Active
w4c10-77,2.019,106.571,Active
w4c10-78,2.518,107.509,Active
w4c10-79,1.176,103.681,Active
w4c10-80,1.512,105.112,Active
w4c10-81,1.403,104.942,Active
w4c10-82,1.490,105.118,Active
w4c10-83,1.484,104.864,Active
w4c10-84,2.113,105.750,Active
w4c10-85,2.333,107.549,Active
w4c10-86,2.960,109.083,Active
w4c10-87,2.935,109.081,Active
w4c10-88,4.190,110.023,Active
w4c10-89,4.193,108.353,Active
w4c10-90,2.540,106.159,Active
w4c10-91,2.465,106.170,Active
w4c10-92,2.053,105.643,Active
w4c10-93,3.396,106.406,Active
w4c10-94,2.233,105.212,Active
w4c10-95,3.041,106.333,Active
w4c10-96,2.728,108.822,Active
w4c10-97,2.731,108.823,Active
w4c10-98,2.022,105.881,Active
w4c10-99,1.257,105.183,Active
