name,create_ms,activate_ms,final_state
w1c100-0,5.996,439.566,Active
w1c100-1,20.463,668.262,Active
w1c100-2,30.661,717.631,Active
w1c100-3,27.414,717.606,Active
w1c100-4,24.694,673.329,Active
w1c100-5,27.672,879.246,Active
w1c100-6,30.607,923.433,Active
w1c100-7,20.602,529.551,Active
w1c100-8,20.642,548.013,Active
w1c100-9,28.059,775.399,Active
w1c100-10,16.929,527.047,Active
w1c100-11,20.494,547.419,Active
w1c100-12,12.003,439.333,Active
w1c100-13,30.577,923.693,Active
w1c100-14,20.620,545.737,Active
w1c100-15,17.408,527.114,Active
w1c100-16,17.379,527.222,Active
w1c100-17,24.646,775.379,Active
w1c100-18,28.117,834.136,Active
w1c100-19,24.419,672.591,Active
w1c100-20,20.991,550.402,Active
w1c100-21,27.486,672.530,Active
w1c100-22,12.112,439.271,Active
w1c100-23,19.387,544.586,Active
w1c100-24,27.254,718.283,Active
w1c100-25,38.225,923.470,Active
w1c100-26,6.914,152.244,Active
w1c100-27,11.972,452.472,Active
w1c100-28,11.728,439.281,Active
w1c100-29,11.866,435.443,Active
w1c100-30,11.994,439.198,Active
w1c100-31,12.027,439.430,Active
w1c100-32,17.705,526.756,Active
w1c100-33,17.096,545.388,Active
w1c100-34,17.126,449.225,Active
w1c100-35,16.996,547.325,Active
w1c100-36,18.139,527.003,Active
w1c100-37,17.027,545.292,Active
w1c100-38,20.396,544.246,Active
w1c100-39,19.296,545.461,Active
w1c100-40,19.294,547.857,Active
w1c100-41,17.153,547.300,Active
w1c100-42,19.242,545.291,Active
w1c100-43,17.122,545.442,Active
w1c100-44,17.171,545.351,Active
w1c100-45,20.498,672.565,Active
w1c100-46,17.522,545.298,Active
w1c100-47,19.216,547.602,Active
w1c100-48,19.162,529.370,Active
w1c100-49,19.945,546.138,Active
w1c100-50,20.317,544.442,Active
w1c100-51,20.333,545.380,Active
w1c100-52,20.232,545.319,Active
w1c100-53,20.104,716.651,Active
w1c100-54,38.511,923.175,Active
w1c100-55,20.049,718.770,Active
w1c100-56,20.118,630.443,Active
w1c100-57,23.833,672.969,Active
w1c100-58,23.960,718.078,Active
w1c100-59,24.060,672.117,Active
w1c100-60,24.296,718.714,Active
w1c100-61,24.050,672.271,Active
w1c100-62,23.762,672.222,Active
w1c100-63,26.900,672.271,Active
w1c100-64,30.185,717.138,Active
w1c100-65,26.770,717.114,Active
w1c100-66,30.193,717.006,Active
w1c100-67,30.204,666.200,Active
w1c100-68,23.887,717.437,Active
w1c100-69,23.800,716.435,Active
w1c100-70,26.769,672.061,Active
w1c100-71,30.091,820.823,Active
w1c100-72,24.015,833.561,Active
w1c100-73,24.043,819.232,Active
w1c100-74,26.785,732.005,Active
w1c100-75,29.941,774.988,Active
w1c100-76,26.878,820.661,Active
w1c100-77,27.340,819.462,Active
w1c100-78,26.747,731.966,Active
w1c100-79,29.777,821.080,Active
w1c100-80,26.870,774.649,Active
w1c100-81,27.154,769.243,Active
w1c100-82,27.304,819.215,Active
w1c100-83,26.783,819.117,Active
w1c100-84,27.245,820.330,Active
w1c100-85,27.283,870.338,Active
w1c100-86,27.095,878.301,Active
w1c100-87,27.127,870.316,Active
w1c100-88,27.167,878.510,Active
w1c100-89,27.129,819.105,Active
w1c100-90,26.617,820.262,Active
w1c100-91,37.524,922.439,Active
w1c100-92,26.989,878.328,Active
w1c100-93,26.641,866.870,Active
w1c100-94,29.516,922.659,Active
w1c100-95,29.602,922.451,Active
w1c100-96,29.531,878.336,Active
w1c100-97,31.297,878.213,Active
w1c100-98,37.333,922.447,Active
w1c100-99,31.065,878.453,Active
