name,create_ms,activate_ms,final_state
bench3-0,20.411,647.764,Active
bench3-1,19.368,646.797,Active
bench3-2,19.319,759.233,Active
bench3-3,26.224,665.861,Active
bench3-4,24.952,566.504,Active
bench3-5,11.454,122.838,Active
bench3-6,21.558,752.483,Active
bench3-7,18.496,752.470,Active
bench3-8,22.695,772.847,Active
bench3-9,20.473,766.773,Active
bench3-10,18.119,769.507,Active
bench3-11,18.254,656.540,Active
bench3-12,24.263,757.604,Active
bench3-13,14.509,670.903,Active
bench3-14,24.362,650.312,Active
bench3-15,14.525,568.199,Active
bench3-16,24.412,545.310,Active
bench3-17,18.292,752.572,Active
bench3-18,22.057,763.485,Active
bench3-19,22.523,775.012,Active
bench3-20,18.075,668.045,Active
bench3-21,21.299,772.552,Active
bench3-22,18.036,671.015,Active
bench3-23,18.120,668.339,Active
bench3-24,14.643,671.495,Active
bench3-25,24.462,562.949,Active
bench3-26,17.851,639.927,Active
bench3-27,18.464,759.227,Active
bench3-28,21.329,753.076,Active
bench3-29,21.631,764.189,Active
bench3-30,17.925,638.179,Active
bench3-31,23.949,748.154,Active
bench3-32,18.029,655.306,Active
bench3-33,18.060,668.740,Active
bench3-34,17.848,665.220,Active
bench3-35,18.093,656.238,Active
bench3-36,11.999,244.359,Active
bench3-37,11.999,443.728,Active
bench3-38,23.896,649.928,Active
bench3-39,17.929,462.476,Active
bench3-40,18.809,772.180,Active
bench3-41,18.157,751.082,Active
bench3-42,19.686,751.069,Active
bench3-43,11.015,122.130,Active
bench3-44,17.957,565.402,Active
bench3-45,18.021,752.133,Active
bench3-46,23.881,768.714,Active
bench3-47,11.638,122.127,Active
bench3-48,17.893,639.335,Active
bench3-49,19.255,544.919,Active
bench3-50,4.596,756.650,Active
bench3-51,3.265,731.828,Active
bench3-52,4.474,737.430,Active
bench3-53,14.154,633.884,Active
bench3-54,8.267,420.335,Active
bench3-55,4.819,416.301,Active
bench3-56,3.515,314.572,Active
bench3-57,3.421,314.244,Active
bench3-58,5.272,315.031,Active
bench3-59,4.616,317.917,Active
bench3-60,4.539,416.791,Active
bench3-61,2.489,414.933,Active
bench3-62,2.867,312.102,Active
bench3-63,3.468,310.802,Active
bench3-64,4.001,310.616,Active
bench3-65,3.084,310.183,Active
bench3-66,3.088,311.989,Active
bench3-67,3.274,313.084,Active
bench3-68,2.144,311.398,Active
bench3-69,4.791,312.298,Active
bench3-70,4.382,312.499,Active
bench3-71,4.893,312.911,Active
bench3-72,2.173,315.846,Active
bench3-73,2.112,316.049,Active
bench3-74,2.841,318.102,Active
bench3-75,3.934,418.121,Active
bench3-76,4.000,422.014,Active
bench3-77,5.808,420.485,Active
bench3-78,5.753,417.773,Active
bench3-79,4.254,420.012,Active
bench3-80,1.274,306.182,Active
bench3-81,2.806,312.179,Active
bench3-82,3.606,312.143,Active
bench3-83,4.531,312.179,Active
bench3-84,4.525,312.350,Active
bench3-85,4.469,314.177,Active
bench3-86,4.471,312.113,Active
bench3-87,3.759,311.579,Active
bench3-88,3.650,312.821,Active
bench3-89,2.634,313.179,Active
bench3-90,1.859,311.957,Active
bench3-91,1.418,320.155,Active
bench3-92,1.836,319.344,Active
bench3-93,1.149,317.414,Active
bench3-94,1.439,314.159,Active
bench3-95,2.683,314.395,Active
bench3-96,4.909,419.959,Active
bench3-97,4.649,318.952,Active
bench3-98,3.090,319.316,Active
bench3-99,2.182,414.686,Active
bench3-100,1.720,307.308,Active
bench3-101,1.955,312.124,Active
bench3-102,1.672,413.817,Active
bench3-103,2.972,412.916,Active
bench3-104,10.763,422.261,Active
bench3-105,3.675,313.766,Active
bench3-106,4.819,452.825,Active
bench3-107,4.511,452.333,Active
bench3-108,3.391,414.800,Active
bench3-109,2.101,415.314,Active
bench3-110,2.077,310.806,Active
bench3-111,1.863,310.306,Active
bench3-112,1.851,310.294,Active
bench3-113,1.011,306.255,Active
bench3-114,2.313,312.360,Active
bench3-115,5.463,317.779,Active
bench3-116,3.833,312.089,Active
bench3-117,4.113,314.180,Active
